=git add api.pyranking_position,ranking_points,total_titles,titles_premier_padel,titles_world_padel_tour,total_finals,win_rate_finals,contract_value_eur,yearly_rackets,instagram_followers_millions,tiktok_followers_millions,twitter_followers_thousands,youtube_subscribers_thousands,engagement_rate_percent,sponsorship_value_annual_eur,total_social_followers,performance_score,is_top_player
26.0,2354.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
26.0,2190.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
27.0,2292.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
27.0,2185.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
28.0,2280.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
28.0,2115.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
29.0,2252.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
29.0,1960.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
29.0,1200.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
30.0,2201.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
30.0,1885.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
31.0,2148.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
31.0,1845.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
32.0,1941.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
32.0,1820.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
33.0,1935.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
33.0,1810.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
34.0,1794.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
34.0,1800.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
35.0,1736.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
35.0,1716.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
36.0,1591.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
36.0,1690.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
37.0,1580.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
37.0,1655.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
38.0,1518.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
38.0,1650.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
38.0,750.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
39.0,1507.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
39.0,1575.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
40.0,1506.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
40.0,1565.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
41.0,1463.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
41.0,1502.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
42.0,1461.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
42.0,1495.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
43.0,1449.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
43.0,1474.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
44.0,1447.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
44.0,1472.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
45.0,1398.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
45.0,1470.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
46.0,1390.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
46.0,1390.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
46.0,1315.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
46.0,1315.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
47.0,1379.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
48.0,1367.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
48.0,1367.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
48.0,1257.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
49.0,1250.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
49.0,1250.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
50.0,1345.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
50.0,1244.0,0,0,0,0,50,80000,12,0.1,0.06,8,5,2.1,12000,0.17,65,0
51.0,1293.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
51.0,1234.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
51.0,550.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
52.0,1212.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
52.0,1227.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
53.0,1184.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
53.0,1174.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
54.0,1181.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
54.0,1148.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
55.0,1169.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
55.0,1133.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
56.0,1145.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
56.0,1108.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
57.0,1138.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
57.0,1066.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
58.0,1104.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
58.0,1064.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
59.0,1085.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
59.0,1013.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
60.0,1078.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
60.0,971.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
60.0,450.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
61.0,1060.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
61.0,940.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
61.0,285.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
62.0,1042.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
62.0,929.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
63.0,1040.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
63.0,926.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
64.0,1003.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
64.0,1003.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
64.0,918.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
65.0,899.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
66.0,1000.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
66.0,880.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
67.0,857.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
68.0,982.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
68.0,763.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
69.0,980.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
69.0,759.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
70.0,975.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
70.0,747.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
70.0,747.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
71.0,968.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
71.0,741.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
72.0,964.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
72.0,738.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
73.0,962.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
73.0,733.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
74.0,953.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
74.0,730.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
75.0,947.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
75.0,726.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
76.0,943.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
76.0,697.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
76.0,697.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
77.0,940.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
77.0,654.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
78.0,931.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
78.0,627.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
79.0,928.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
79.0,603.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
80.0,911.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
80.0,911.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
80.0,602.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
80.0,300.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
81.0,581.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
81.0,65.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
82.0,894.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
82.0,555.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
83.0,878.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
83.0,878.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
83.0,548.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
84.0,853.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
84.0,542.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
85.0,848.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
85.0,541.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
86.0,839.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
86.0,540.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
87.0,838.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
87.0,838.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
87.0,522.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
87.0,522.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
87.0,838.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
88.0,818.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
89.0,810.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
89.0,494.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
90.0,807.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
90.0,492.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
91.0,462.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
92.0,744.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
92.0,446.0,0,0,0,0,50,40000,6,0.1,0.06,8,5,2.1,12000,0.17,35,0
